campaign_id	campaign_name	platform	post_type	content_theme	target_audience	boosted_post	spend_usd	reach	impressions	engagements	clicks	conversions	conversion_value_usd	cpc_usd	ctr	engagement_rate	hashtag_count	emoji_count	word_count	sentiment_score	video_length_seconds	post_datetime	campaign_year
CMP1000	Summer Campaign	TikTok	Story	Promotion	Gen Z	FALSE	8.46000003814697	4007	5261	354	156	25	503.429992675781	0.0500000007450581	0.0296999998390675	0.088299997150898	9	2	18	0.119999997317791	37	2024-01-08 13:45:00.000	2025
CMP1000	Back to School Campaign	X	Video	Behind the Scenes	Parents	TRUE	7.07000017166138	3591	5194	115	51	5	249.5	0.140000000596046	0.00980000011622906	0.0320000015199184	2	0	12	-0.159999996423721	22	2024-01-03 19:30:00.000	2024
CMP1000	Spring Campaign	LinkedIn	Story	User Testimonial	Gen Z	TRUE	40.5999984741211	10152	12380	1170	372	56	2138.28002929688	0.109999999403954	0.0299999993294477	0.115199998021126	13	5	16	0.300000011920929	113	2024-01-20 09:30:00.000	2025
CMP1000	Summer Campaign	Facebook	Image	User Testimonial	Gen X	TRUE	5.23000001907349	2750	3146	321	174	19	1360.52001953125	0.0299999993294477	0.0553000010550022	0.116700001060963	1	9	45	-0.389999985694885	0	2024-01-14 11:00:00.000	2024
CMP1000	Spring Campaign	Instagram	Video	Behind the Scenes	Millennials	FALSE	5.38000011444092	2105	3115	146	76	10	1312.48999023438	0.0700000002980232	0.0243999995291233	0.0693999975919724	13	2	40	-0.109999999403954	119	2024-01-04 11:00:00.000	2025
CMP1000	Back to School Campaign	Facebook	Image	Behind the Scenes	Gen X	FALSE	4.57000017166138	3787	4951	384	211	41	3670.7900390625	0.0199999995529652	0.0425999984145164	0.101400002837181	12	7	34	-0.100000001490116	0	2024-01-09 06:15:00.000	2025
CMP1000	Fall Campaign	TikTok	Carousel	Promotion	Parents	TRUE	37.4099998474121	7063	9143	627	272	35	415.089996337891	0.140000000596046	0.0296999998390675	0.0887999981641769	12	7	48	-0.349999994039536	0	2024-01-07 12:45:00.000	2024
CMP1000	Summer Campaign	X	Image	Product Launch	Millennials	TRUE	0.0299999993294477	334	420	10	6	0	0	0.00999999977648258	0.014299999922514	0.029899999499321	13	2	36	0.680000007152557	0	2024-01-13 23:00:00.000	2024
CMP1000	Summer Campaign	Instagram	Story	Lifestyle	Millennials	TRUE	23.0699996948242	6378	8224	631	237	13	419.130004882813	0.100000001490116	0.0287999995052814	0.0988999977707863	6	5	26	0.280000001192093	102	2024-01-17 22:15:00.000	2025
CMP1000	Spring Campaign	Facebook	Carousel	Product Launch	Parents	FALSE	2.01999998092651	2750	3457	258	140	10	1315.56005859375	0.00999999977648258	0.0405000001192093	0.093800000846386	2	2	36	-0.579999983310699	0	2024-01-20 12:00:00.000	2025
CMP1000	Back to School Campaign	LinkedIn	Image	Product Launch	Professionals	FALSE	4.69000005722046	3245	5219	249	133	18	2329.080078125	0.0399999991059303	0.0254999995231628	0.0767000019550323	8	10	42	0.720000028610229	0	2024-01-28 22:00:00.000	2024
